Percentile (%),30-Year CAGR
0,-0.013476543884018977
1,0.003238752061292767
2,0.006566740179205297
3,0.01054877774565281
4,0.01276598253579591
5,0.014479189772910683
6,0.01697326465713499
7,0.019048456127967125
8,0.02056442281390863
9,0.022813451058613064
10,0.02373265871169703
11,0.025298669939847397
12,0.02737686160038483
13,0.028598085723773214
14,0.0296075248904695
15,0.031100283267756677
16,0.03178783855651635
17,0.032898831844831375
18,0.033517731043080305
19,0.033874378912095965
20,0.03455289163416122
21,0.03506429431938533
22,0.03597549802817382
23,0.03673541892126393
24,0.03727220937516832
25,0.03795247769842264
26,0.038805375905790966
27,0.03947697229058701
28,0.04018655936107028
29,0.040876553988706245
30,0.041443929816119815
31,0.0423218979285691
32,0.043133363334004964
33,0.04357928060336192
34,0.044354834829975
35,0.04503263855823169
36,0.045830546180289394
37,0.046296857161024475
38,0.04682817429024524
39,0.04733779059830807
40,0.04799634518404781
41,0.048572451668271364
42,0.04925368023406327
43,0.049811730566101636
44,0.05046523356541374
45,0.051160127553954125
46,0.05166091918325879
47,0.05234229754744055
48,0.053224185578971885
49,0.05410890401390156
50,0.05480327373333649
51,0.05542492725804771
52,0.05615109924073381
53,0.05663430213420577
54,0.057099305061315046
55,0.057736158506761295
56,0.05833517246721007
57,0.0586475147525551
58,0.05919345350573065
59,0.0598576033913124
60,0.06062217860731507
61,0.061147699632664795
62,0.06169910362292729
63,0.06221760156159608
64,0.06304696394309761
65,0.0642078718643254
66,0.06459805480683384
67,0.0654393001956301
68,0.06614444942088263
69,0.06671831278706016
70,0.06735016896949528
71,0.06808644821409704
72,0.06887086971241908
73,0.06975653625801016
74,0.07028605777918777
75,0.07076431297045394
76,0.07133239758409836
77,0.07164924588564074
78,0.07229535924804774
79,0.0733179022521843
80,0.07440805500251169
81,0.07540271989395948
82,0.0761527704039898
83,0.07725345594900276
84,0.07799826211281696
85,0.07896967176310436
86,0.080119554747361
87,0.08172756510101915
88,0.08342305414350407
89,0.084466595491153
90,0.08623932606582377
91,0.08689029452126361
92,0.08852810791212454
93,0.09022246042000129
94,0.09185191753224237
95,0.09469954986154053
96,0.09625809630550719
97,0.09826038646440569
98,0.10137840206287188
99,0.10633578160158558
100,0.11770403300997256
